name,price,length,width,handle,static_wgt,swing_wgt,twist_wgt,balance,power,pop,spin,price_q,length_q,width_q,handle_q,static_wgt_q,swing_wgt_q,twist_wgt_q,balance_q,power_q,pop_q,spin_q,embed_x,embed_y
Electrum Pro II 11mm,149.99,16.0,8.0,5.25,7.6,106.0,6.75,23.7,54.5,36.1,2089,0,0,3,0,0,0,3,1,0,2,1,5.0348387,3.8960025
Electrum Pro II Stealth 12mm,220.0,16.0,7.75,5.25,7.0,93.0,4.83,23.1,54.4,37.1,2204,3,0,3,0,0,0,0,0,0,3,3,4.9109206,3.0780275
Electrum Pro II Stealth-with 0.5 oz. lead tape 12mm,220.0,16.0,7.75,5.25,7.5,97.0,6.35,22.8,56.3,36.7,2204,3,0,3,0,0,0,2,0,1,3,3,5.166155,3.212201
Electrum Pro Stealth 12mm,220.0,15.6,8.3,5.0,7.3,92.0,5.63,22.5,53.9,36.8,1927,3,0,4,0,0,0,0,0,0,3,0,4.3864636,3.6202543
Electrum Pro Stealth-with 0.5 oz. lead tape 12mm,220.0,15.6,8.3,5.0,7.3,93.0,6.9,22.3,56.3,36.4,1927,3,0,4,0,0,0,4,0,1,2,0,4.457793,3.7087216
Engage Evolution Extreme V2.14 14mm,159.99,16.5,7.5,5.25,8.0,117.7,6.38,24.4,54.5,35.4,1915,1,3,1,0,1,3,2,3,0,1,0,11.228329,4.9710894
Engage Evolution Extreme V2.16 16mm,159.99,16.38,7.5,5.25,8.2,121.8,6.66,24.5,55.9,35.1,2082,1,2,1,0,3,4,3,4,1,0,1,11.948807,3.984745
Engage Pursuit EX 6.0 Maxx 16mm,259.99,16.0,8.0,5.0,8.0,115.6,7.43,24.5,55.5,36.0,1666,4,0,3,0,1,2,4,4,0,2,0,5.247472,4.860562
Engage Pursuit EX 6.0 Pro 16mm,259.99,16.0,8.0,5.0,8.1,114.7,7.32,23.5,56.3,37.0,2260,4,0,3,0,2,2,4,1,1,3,4,6.429333,4.101794
Engage Pursuit EX Pro 13mm,259.99,16.0,8.0,5.0,8.2,116.2,7.29,23.7,56.2,37.3,2366,4,0,3,0,3,2,4,1,1,4,4,6.4776044,4.1198955
Engage Pursuit MX 6.0 Maxx 16mm,199.99,16.5,7.5,5.75,7.8,116.2,5.8,24.2,57.4,35.9,1716,2,3,1,2,0,2,0,3,3,2,0,11.038206,4.2900553
Engage Pursuit MX 6.0 Pro 16mm,259.99,16.5,7.5,5.75,8.1,129.1,6.65,25.3,57.6,36.1,2258,4,3,1,2,2,4,3,4,3,2,4,12.005236,2.7338414
Engage Pursuit MX Pro 13mm,259.99,16.5,7.5,5.75,8.0,119.3,5.85,24.1,57.5,37.0,2264,4,3,1,2,1,3,1,3,3,3,4,10.637734,2.5027733
Engage Pursuit Pro 1 6.0-Light 16mm,259.99,16.5,7.5,5.88,7.7,115.2,5.75,23.7,57.7,36.1,2207,4,3,1,2,0,2,0,1,3,2,3,10.148125,2.8941617
Engage Pursuit Pro 1-Light 13mm,259.99,16.5,7.5,5.88,7.7,109.5,5.57,23.3,57.3,36.2,2178,4,3,1,2,0,1,0,0,3,2,3,9.869676,2.9569666
Engage Pursuit Pro Innovation 15mm,259.99,16.63,7.28,6.0,8.2,124.7,6.31,24.5,58.4,36.6,2155,4,4,0,2,3,4,2,4,4,3,2,11.387935,2.8325572
Ethos Dunamis 14mm,179.95,16.0,8.0,5.35,7.5,99.6,6.18,23.1,54.8,35.2,1678,1,0,3,1,0,0,1,0,0,0,0,4.5940676,3.7943676
Ethos Dunamis Pro 16mm,199.9,16.0,8.0,5.5,8.2,115.9,6.86,23.8,55.5,35.9,2120,2,0,3,1,3,2,3,1,0,2,2,5.8693795,4.545472
Franklin C45 Dynasty 14mm 14mm,229.99,16.46,7.52,5.6,7.9,117.6,6.0,24.4,57.5,37.1,2115,3,2,2,2,1,3,1,3,3,3,2,10.522689,2.224465
Franklin C45 Dynasty 16mm 16mm,229.99,16.46,7.52,5.6,7.8,115.3,5.85,24.4,57.2,36.8,2083,3,2,2,2,0,2,1,3,3,3,1,10.372403,2.4759357
Franklin C45 Hybrid 14mm 14mm,229.0,16.3,7.6,5.75,7.5,103.5,5.42,23.5,56.3,37.0,2204,3,2,2,2,0,0,0,1,1,3,3,9.573694,3.0023065
Franklin C45 Hybrid with 8.5 grams tungsten and 9 gram Flick weight 14mm,229.0,16.3,7.6,5.75,8.6,112.6,6.92,22.8,57.4,37.9,2204,3,2,2,2,4,1,4,0,3,4,3,7.6433578,3.7391272
Franklin C45 Tempo 14mm 14mm,229.99,15.83,7.83,5.0,7.8,102.7,6.45,23.1,56.8,37.2,2115,3,0,3,0,0,0,2,0,2,4,2,5.176262,3.2946606
Franklin C45 Tempo 16mm 16mm,229.99,15.83,7.83,5.0,7.7,102.9,6.39,23.2,56.7,36.9,2157,3,0,3,0,0,0,2,0,2,3,2,5.116851,3.284561
Franklin Tour Dynasty 16mm,149.99,16.5,7.5,5.6,9.2,138.7,7.45,24.6,57.4,35.0,2167,0,3,1,2,4,4,4,4,3,0,3,12.374117,3.5783
Franklin Tour Dynasty 14mm,149.99,16.5,7.5,5.6,8.2,126.0,6.6,24.7,56.6,36.1,2288,0,3,1,2,3,4,3,4,2,2,4,12.025882,2.7276182
Franklin Tour Tempo 16mm,149.99,15.9,8.0,5.0,8.9,122.0,7.5,23.5,57.0,36.1,2094,0,0,3,0,4,4,4,1,2,2,1,6.593273,4.2417016
Franklin Tour Tempo 14mm,149.99,15.9,8.0,5.0,8.5,116.3,7.13,23.4,56.5,36.5,2199,0,0,3,0,4,2,4,0,1,3,3,6.5756493,4.4003057
Franklin Tour Tempo 12mm,149.99,15.9,8.0,5.0,7.4,101.4,6.15,23.6,56.3,36.8,2252,0,0,3,0,0,0,1,1,1,3,4,5.121012,3.2210562
Franklin  Carbon STK 14mm,149.99,16.5,7.5,4.25,7.6,118.0,5.76,24.6,55.0,33.9,1251,0,3,1,0,0,3,0,4,0,0,0,11.357712,5.1671896
Friday Fever 16mm,99.0,16.5,7.5,5.5,7.8,115.1,5.74,23.9,57.8,37.0,2076,0,3,1,1,0,2,0,2,3,3,1,10.000306,2.1751964
Gamma Airbender 13mm,199.99,16.54,7.38,5.5,8.1,113.8,5.24,23.6,56.8,35.4,2107,2,4,0,1,2,2,0,1,2,1,2,10.2307,3.6572852
Gamma Airbender 16mm,199.99,16.5,7.38,5.38,8.5,115.3,5.57,23.3,56.7,34.8,1903,2,3,0,1,4,2,0,0,2,0,0,10.789713,4.9424
Gamma Airbender 10mm,199.99,16.54,7.38,5.5,8.1,111.2,5.08,23.5,56.1,36.0,1988,2,4,0,1,2,1,0,1,1,2,1,10.015167,3.9546251
Gamma Obsidian 10 10mm,159.99,16.38,7.63,5.75,8.0,118.3,5.77,24.4,56.0,35.8,1992,1,2,2,2,1,3,0,3,1,1,1,11.058737,3.8856757
Gamma Obsidian 13 13mm,159.99,16.38,7.63,5.75,7.9,112.2,6.0,23.8,56.2,35.6,1854,1,2,2,2,1,1,1,1,1,1,0,10.875302,4.4364247
Gamma Obsidian 16 16mm,159.99,16.38,7.63,5.75,8.1,119.6,6.46,24.5,56.7,35.1,1877,1,2,2,2,2,3,2,4,2,0,0,11.5647135,4.1372185
Gearbox CX14H Ultimate Power 14mm,249.99,15.6,8.0,5.38,8.5,107.0,5.78,22.0,52.4,33.8,1962,3,0,3,1,4,0,0,0,0,0,0,4.8097763,4.356357
Gearbox G2 Elongated 14mm,119.99,16.5,7.4,5.5,7.9,122.9,5.35,25.4,55.7,33.4,2030,0,3,0,1,1,4,0,4,0,0,1,10.53252,3.9422107
Gearbox G2 Integra 14mm,139.99,16.0,7.38,5.5,7.9,113.3,5.64,24.5,55.5,33.3,2113,0,0,0,1,1,1,0,4,0,0,2,10.332369,4.167139
Gearbox G2 Quad 14mm,99.99,15.88,8.0,4.75,7.9,108.0,6.23,23.7,54.6,34.1,2139,0,0,3,0,1,0,2,1,0,0,2,4.6354976,4.494389
Gearbox GX2 Elongated 16mm,269.99,16.61,7.36,5.5,7.9,118.8,5.9,25.0,57.8,36.5,2067,4,4,0,1,1,3,1,4,3,3,1,11.056044,2.2312608
Gearbox GX2 Hyper 16mm,269.99,15.91,7.99,5.5,8.1,109.1,6.14,24.3,57.4,36.8,2142,4,0,3,1,2,1,1,3,3,3,2,6.42464,3.3316824
Gearbox GX2 Integra 16mm,269.99,16.38,7.4,5.5,7.9,118.9,5.82,24.9,57.4,36.8,2083,4,2,0,1,1,3,0,4,3,3,1,10.956961,2.216895
Gearbox Pro Control Elongated 14mm,274.99,16.5,7.38,5.5,8.1,122.0,5.07,25.0,57.3,35.8,2130,4,3,0,1,2,4,0,4,3,1,2,10.808251,2.9672897
Gearbox Pro Control Integra 14mm,274.99,16.0,7.38,5.5,8.0,115.0,5.14,24.5,57.1,36.1,2091,4,0,0,1,1,2,0,4,2,2,1,10.423757,2.583363
Gearbox Pro Power Elongated 14mm,274.99,16.5,7.38,5.5,8.0,120.0,5.22,24.9,60.4,38.0,2062,4,3,0,1,1,3,0,4,4,4,1,10.885206,1.2252879
Gearbox Pro Power Elongated with 10 grams tungsten 14mm,274.99,16.5,7.38,5.5,8.5,122.0,5.67,24.3,62.6,38.7,1827,4,3,0,1,4,4,0,3,4,4,0,10.987337,1.2027588
Gearbox Pro Power Integra 14mm,274.99,16.0,7.38,5.5,8.0,112.0,5.14,24.2,59.3,37.9,2113,4,0,0,1,1,1,0,3,4,4,2,10.376522,1.4856615
Gearbox Pro Ultimate Elongated 16mm,274.99,16.5,7.38,5.5,7.9,122.3,5.43,25.6,58.4,36.3,1983,4,3,0,1,1,4,0,4,4,2,1,11.03533,2.1729908
Gearbox Pro Ultimate Hyper 16mm,274.99,16.0,8.0,5.5,8.0,112.3,6.4,24.7,58.4,36.4,2178,4,0,3,1,1,1,2,4,4,2,3,6.729879,3.2840345
Gearbox Pro Ultimate Power Elongated 14mm,274.99,16.5,7.38,5.5,7.9,126.6,5.54,26.1,57.7,36.8,2270,4,3,0,1,1,4,0,4,3,3,4,11.169677,2.1773968
Gentle Booms Sports GBS-001 11mm,49.99,15.7,7.8,5.0,8.5,115.0,6.65,23.1,53.2,32.4,1493,0,0,3,0,4,2,3,0,0,0,0,4.8047853,4.812842
GRÜVN CRÜZ-16S 16mm,129.0,15.7,8.1,5.4,8.3,113.0,7.45,23.6,55.6,35.4,2084,0,0,4,1,4,1,4,1,0,1,1,5.6145754,4.961595
GRÜVN LAZR-16S 16mm,169.0,15.9,8.0,5.35,8.1,106.2,7.09,23.1,55.6,35.9,2213,1,0,3,1,2,0,4,0,0,2,3,5.45657,4.281067
GRÜVN MÜVN-13S 13mm,159.0,15.7,8.1,5.3,7.9,101.0,6.35,22.5,56.1,37.1,1846,1,0,4,1,1,0,2,0,1,3,0,4.700998,3.5831017
GRÜVN MÜVN-13X 13mm,159.0,16.5,7.38,5.5,7.8,114.0,5.93,23.9,56.7,35.6,1975,1,3,0,1,0,2,1,2,2,1,1,10.570628,4.3523946
GRÜVN MÜVN-16E 16mm,159.0,16.5,7.38,4.75,8.3,118.0,6.35,23.8,56.3,35.6,1862,1,3,0,0,4,3,2,1,1,1,0,11.290883,5.1456513
GRÜVN MÜVN-16H 16mm,159.0,16.5,7.38,5.88,8.2,122.0,6.15,24.2,56.9,36.4,1821,1,3,0,2,3,4,1,3,2,2,0,11.453789,4.059296
GRÜVN MÜVN-16S 16mm,159.0,15.7,8.1,5.3,8.0,103.9,6.8,22.7,55.6,35.7,2002,1,0,4,1,1,0,3,0,0,1,1,4.85692,3.9698842
GRÜVN MÜVN-16X 16mm,159.0,16.5,7.38,5.5,8.2,116.7,6.3,23.7,55.6,34.9,2013,1,3,0,1,3,3,2,1,0,0,1,10.922806,4.7733445
GRÜVN Raw-13R 13mm,139.0,15.55,8.23,5.25,7.6,96.8,6.51,22.7,53.6,35.3,2171,0,0,4,0,0,0,2,0,0,1,3,4.62507,3.8692715
GRÜVN Raw-13S 13mm,139.0,15.7,8.1,5.3,7.8,106.4,6.8,23.5,54.7,35.6,2255,0,0,4,1,0,0,3,1,0,1,4,5.1336765,4.0398183
GRÜVN Raw-13V 13mm,139.0,15.5,8.1,4.75,7.7,99.0,6.8,22.8,53.8,35.5,1965,0,0,4,0,0,0,3,0,0,1,0,4.380361,3.9444196
GRÜVN Raw-16H 16mm,139.0,16.5,7.38,5.88,7.7,121.0,5.74,25.0,53.9,34.5,2166,0,3,0,2,0,4,0,4,0,0,3,10.653117,4.0533447
GRÜVN Raw-16R 16mm,139.0,15.55,8.23,5.25,7.7,97.3,6.72,22.6,53.9,34.1,1597,0,0,4,0,0,0,3,0,0,0,0,4.468108,3.9750736
GRÜVN Raw-16RX 16mm,139.0,16.5,7.38,6.0,7.8,119.0,5.7,24.5,54.1,34.9,1877,0,3,0,2,0,3,0,4,0,0,0,10.890847,4.107175
GRÜVN Raw-16S 16mm,139.0,15.7,8.1,5.3,7.8,105.3,6.83,23.3,55.4,34.3,2202,0,0,4,1,0,0,3,0,0,0,3,4.8863025,4.103932
GRÜVN Raw-16V 16mm,139.0,15.5,8.1,4.75,7.8,100.2,7.32,22.9,54.2,34.1,2152,0,0,4,0,0,0,4,0,0,0,2,4.5262012,4.141755
GRÜVN Raw-16X 16mm,139.0,16.5,7.38,5.5,8.0,122.0,6.07,24.5,55.1,34.5,2152,0,3,0,1,1,4,1,4,0,0,2,10.583384,4.207064
GRYP Balance 1 - 10g cap 15mm,200.0,16.5,7.5,5.5,8.3,113.0,6.15,22.7,55.9,35.4,2107,2,3,1,1,4,1,1,0,1,1,2,9.435761,4.525047
GRYP Balance 1 - 30g cap 15mm,200.0,16.5,7.5,5.5,8.9,114.0,6.0,21.0,57.0,36.4,2042,2,3,1,1,4,2,1,0,2,2,1,7.265011,4.44068
Holbrook Arma Metallic-S 14mm,279.99,16.06,7.99,5.25,8.2,115.7,7.33,23.9,58.2,36.6,2106,4,1,3,0,3,2,4,2,4,3,2,6.756032,3.8322303
Holbrook Arma Metallic-T 14mm,279.99,16.42,7.56,5.5,8.0,118.2,6.15,24.2,60.0,37.1,2133,4,2,2,1,1,3,1,3,4,3,2,10.614346,1.5717639
Holbrook Arma S 14mm,259.99,16.02,7.99,5.25,8.1,114.1,7.32,23.9,60.3,38.1,2156,4,1,3,0,2,2,4,2,4,4,2,6.5873466,3.2312994
Holbrook Arma T 14mm,259.99,16.5,7.48,5.5,8.0,119.4,6.46,24.4,60.0,38.0,2114,4,3,1,1,1,3,2,3,4,4,2,10.782822,1.4582886
Holbrook Pro - Aero Metallic T 16mm,219.99,16.46,7.52,5.5,8.1,120.7,5.86,24.2,57.0,35.9,1941,3,2,2,1,2,4,1,3,2,2,0,11.3640995,4.022643
Honolulu Pickleball Co. J2K 16mm,155.0,16.2,7.8,5.3,8.2,115.4,7.0,23.7,57.1,36.5,2101,1,1,3,1,3,2,4,1,2,3,1,7.211838,3.710733
Honolulu Pickleball Co. J2K Pro 16mm,165.0,16.2,7.8,5.3,7.9,110.0,6.84,23.4,56.9,36.6,2044,1,1,3,1,1,1,3,0,2,3,1,7.187048,3.449719
Honolulu Pickleball Co. J2K with 10 grams tungsten tape 16mm,155.0,16.2,7.8,5.3,8.4,113.4,7.35,23.3,56.9,36.2,2101,1,1,3,1,4,1,4,0,2,2,1,7.105317,3.934635
Honolulu Pickleball Co. J2K with 10 grams tungsten tape & 28-gram Slyce cap 16mm,155.0,16.2,7.8,5.3,9.4,115.4,7.48,21.7,56.9,36.6,2101,1,1,3,1,4,2,4,0,2,3,1,7.1961613,4.36698
Honolulu Pickleball Co. J2K+ 16mm,165.0,16.2,7.8,5.3,8.3,115.1,7.21,23.8,57.8,37.4,2116,1,1,3,1,4,2,4,1,3,4,2,6.986581,3.6895046
Honolulu Pickleball Co. J2NFK 16mm,195.0,16.18,7.76,5.3,8.1,112.7,6.88,23.7,57.2,37.1,2209,2,1,3,1,2,1,3,1,3,3,3,7.2210965,3.4673276
Honolulu Pickleball Co. J2Ti 16mm,155.0,16.2,7.8,5.3,8.1,112.7,6.9,23.7,57.1,36.1,2111,1,1,3,1,2,1,4,1,2,2,2,7.311911,3.6209638
Honolulu Pickleball Co. J2Ti with 10 grams tungsten tape 16mm,155.0,16.2,7.8,5.3,8.3,113.7,7.3,23.6,57.3,35.9,2111,1,1,3,1,4,2,4,1,3,2,2,7.1561894,3.8466108
Honolulu Pickleball Co. J2Ti with 10 grams tungsten tape & 28-gram Slyce cap 16mm,155.0,16.2,7.8,5.3,9.1,115.1,7.4,21.6,57.3,36.1,2111,1,1,3,1,4,2,4,0,3,2,2,7.1497703,4.286197
Honolulu Pickleball Co. J2Ti+ 16mm,165.0,16.2,7.8,5.3,8.3,117.8,7.22,23.9,57.2,36.9,2137,1,1,3,1,4,3,4,2,3,3,2,7.113304,3.789722
Honolulu Pickleball Co. J3K 16mm,165.0,16.0,8.0,6.0,8.2,115.9,7.23,23.9,56.3,36.9,1959,1,0,3,2,3,2,4,2,1,3,0,6.2869368,5.0514293
Honolulu Pickleball Co. J3K Pro 16mm,165.0,16.0,8.0,6.0,8.1,111.6,7.05,23.5,56.1,36.6,1973,1,0,3,2,2,1,4,1,1,3,1,6.1472483,5.142029
Honolulu Pickleball Co. J7K Pro 16mm,165.0,16.6,7.3,5.5,8.0,116.9,6.14,23.9,57.3,35.7,2285,1,4,0,1,1,3,1,2,3,1,4,9.943915,3.4344223
Honolulu Pickleball Co. Sword & Shield-J1 16mm,166.5,16.5,7.5,5.75,8.8,127.8,6.9,24.1,56.2,35.0,1880,1,3,1,2,4,4,4,3,1,0,0,12.3138075,3.780825
Honolulu Pickleball Co. Sword & Shield-J1H 16mm,166.5,16.5,7.5,5.75,8.7,129.9,6.8,24.0,58.2,35.3,2032,1,3,1,2,4,4,3,2,4,1,1,12.208171,3.5326903
Honolulu Pickleball Co. Sword & Shield-J2 16mm,145.0,16.2,7.8,5.5,8.0,117.7,6.55,24.0,57.1,35.3,1714,0,1,3,1,1,3,3,2,2,1,0,11.496342,4.8509703
Honolulu Pickleball Co. Sword & Shield-J3 16mm,130.5,16.0,8.0,6.0,8.0,111.4,7.0,23.6,56.4,35.2,1778,0,0,3,2,1,1,4,1,1,0,0,6.0599613,5.1532087
Honolulu Pickleball Co. Sword & Shield-J5 16mm,166.5,17.0,7.0,5.75,8.6,130.1,6.15,24.3,57.0,34.9,2067,1,4,0,2,4,4,1,3,2,0,1,11.852675,3.1978633
Hudef Mage Pro 16mm,99.0,16.5,7.4,5.35,8.1,119.0,6.4,24.2,55.4,34.8,2004,0,3,0,1,2,3,2,3,0,0,1,11.165124,4.7547984
Hudef Mage Pro Gen 2 14mm,169.99,16.1,7.8,5.3,7.9,108.6,6.6,23.8,56.4,35.5,2056,1,1,3,1,1,0,3,1,1,1,1,5.642827,3.68822
Hudef Viva Pro Gen1 16mm,99.0,16.5,7.4,5.5,8.1,122.0,6.16,24.4,55.4,35.6,2077,0,3,0,1,2,4,1,3,0,1,1,11.331233,3.839993
Hudef Viva Pro Gen2 16mm,129.99,16.5,7.4,5.5,8.1,128.0,6.5,25.3,56.8,35.5,2060,0,3,0,1,2,4,2,4,2,1,1,12.089006,3.1970897
JOOLA Hyperion 3S 16mm,279.95,16.5,7.5,5.5,7.9,115.1,6.03,24.3,58.1,37.2,2139,4,3,1,1,1,2,1,3,4,4,2,10.424477,2.0208375
JOOLA Magnus 3 Tyson McGuffin 14mm,280.0,16.5,7.5,5.0,8.0,114.7,6.05,24.1,58.8,37.9,2425,4,3,1,0,1,2,1,3,4,4,4,10.215373,1.7003076
JOOLA Magnus 3S 16mm,239.95,16.5,7.5,5.0,7.9,114.0,6.12,24.1,58.4,37.0,2117,3,3,1,0,1,2,1,3,4,3,2,10.106063,1.8396508
JOOLA Perseus 3 Ben Johns 16mm,280.0,16.46,7.36,5.5,8.0,119.2,6.08,24.2,59.9,38.1,2487,4,2,0,1,1,3,1,3,4,4,4,10.594276,1.1856741
JOOLA Perseus 3 Ben Johns 14mm,280.0,16.46,7.36,5.5,8.0,116.9,5.83,24.2,58.8,39.0,2193,4,2,0,1,1,3,0,3,4,4,3,10.498179,1.3229837
JOOLA Perseus 3S 14mm,239.95,16.46,7.36,5.5,8.0,120.4,6.07,24.5,58.2,37.4,2141,3,2,0,1,1,3,1,4,4,4,2,10.944196,1.6943088
JOOLA Perseus 3S 16mm,239.95,16.46,7.36,5.5,7.9,118.6,6.15,24.7,58.0,37.2,2148,3,2,0,1,1,3,1,4,3,4,2,10.926271,1.853293
JOOLA Perseus IV 16mm,279.95,16.46,7.36,5.5,8.1,117.3,6.31,24.4,59.1,37.5,2112,4,2,0,1,2,3,2,3,4,4,2,10.765189,1.4481415
JOOLA Perseus IV 14mm,279.95,16.46,7.36,5.5,7.9,115.1,6.08,24.2,58.3,37.6,2159,4,2,0,1,1,2,1,3,4,4,3,10.562819,1.7036136
JOOLA Perseus MOD TA-15 16mm,280.0,16.46,7.36,5.5,8.8,119.2,6.12,24.6,60.0,38.3,2243,4,2,0,1,4,3,1,4,4,4,4,11.125503,1.3601642
JOOLA Scorpeus 3 Anna Bright 14mm,280.0,16.0,8.0,5.25,7.8,109.3,6.64,24.0,58.5,39.3,2310,4,0,3,0,0,1,3,2,4,4,4,6.150966,2.880825
JOOLA Scorpeus 3 Collin Johns 16mm,280.0,16.0,8.0,5.25,8.0,111.7,6.94,23.7,58.7,38.7,2115,4,0,3,0,1,1,4,1,4,4,2,6.399323,3.005465
JOOLA Scorpeus 3S 16mm,239.95,16.0,8.0,5.25,8.0,111.6,7.0,23.9,57.5,37.8,2213,3,0,3,0,1,1,4,2,3,4,3,6.2698464,3.6180735
JOOLA Scorpeus Collin Johns 16mm,249.95,16.0,8.0,5.25,8.1,114.0,6.95,23.9,56.5,35.3,1889,3,0,3,0,2,2,4,2,1,1,0,5.310862,4.829365
Komodo Katana 16mm,227.97,16.5,7.5,5.25,7.5,106.5,5.75,23.8,55.2,34.1,2032,3,3,1,0,0,0,0,1,0,0,1,10.029987,4.5364437
Komodo Tonto 18K 14mm,227.97,16.5,7.4,5.8,7.1,100.0,5.32,23.3,55.8,36.0,1854,3,3,0,2,0,0,0,0,1,2,0,9.914868,4.493535
Komodo Tonto Unidirectional 14mm,227.97,16.5,7.4,5.8,8.1,118.5,5.64,23.6,56.1,36.0,1765,3,3,0,2,2,3,0,1,1,2,0,11.207359,4.3143644
Mark unMARKed Alpha 15mm,174.99,16.54,7.48,5.6,8.1,121.4,6.52,24.6,58.4,37.1,2277,1,4,1,2,2,4,3,4,4,3,4,11.327816,1.9503537
Maverix Clash-15 All Court 15mm,164.99,16.2,7.7,5.4,8.1,117.2,6.55,23.9,56.4,35.7,2161,1,1,2,1,2,3,3,2,1,1,3,8.391354,3.8763444
Maverix Clash-15 Pro 15mm,179.99,16.2,7.7,5.4,8.2,116.2,6.42,23.9,56.7,35.8,1986,1,1,2,1,3,2,2,2,2,1,1,8.271273,3.9244747
Maverix Havik-15 All Court 15mm,164.99,16.5,7.5,5.5,8.2,117.2,6.36,23.9,56.3,35.8,2028,1,3,1,1,3,3,2,2,1,1,1,11.244153,4.5423403
Maverix Havik-15 Pro 15mm,179.99,16.5,7.5,5.5,8.3,118.7,6.58,24.1,56.9,35.6,2002,1,3,1,1,4,3,3,3,2,1,1,11.927025,4.220543
Neonic Flare Prime X 14mm,139.99,16.0,8.0,5.5,7.6,107.3,6.68,23.8,57.0,37.2,2149,0,0,3,1,0,0,3,1,2,4,2,5.8153973,3.1893425
Neonic Flare Titanium 16mm,149.99,16.0,8.0,5.5,8.1,113.5,7.01,23.8,57.2,35.5,2204,0,0,3,1,2,1,4,1,3,1,3,5.9970074,4.5137396
Neonic Flow 16mm,119.99,16.25,7.63,5.5,8.1,116.3,6.53,23.9,56.2,35.3,2310,0,1,2,1,2,2,3,2,1,1,4,8.640893,3.943552
Neonic Flow Prime X 16mm,139.99,16.25,7.63,5.5,8.1,116.1,6.49,23.8,55.8,35.9,2158,0,1,2,1,2,2,2,1,1,2,3,8.705375,3.9814308
Nexus ProStar 16mm,169.99,16.5,7.5,5.5,8.2,122.6,6.38,24.4,57.0,37.0,1797,1,3,1,1,3,4,2,3,2,3,0,11.65513,4.2176585
OM Aero 14mm,245.0,15.83,8.2,5.0,7.9,106.7,6.48,23.5,57.3,37.1,1584,3,0,4,0,1,0,2,1,3,3,0,4.8400793,3.629426
Owl Owl CXE 16mm,169.0,16.5,7.5,5.3,7.9,118.5,5.51,25.6,56.0,35.2,2380,1,3,1,1,1,3,0,4,1,0,4,10.749317,3.1800268
PaddleTek Bantam ALW-C 12mm,229.99,15.9,7.9,5.25,7.8,103.4,6.51,23.5,58.3,38.2,2241,3,0,3,0,0,0,2,1,4,4,4,6.109821,2.804256
PaddleTek Bantam ALW-C 14mm,229.99,15.9,7.9,5.25,7.7,107.9,6.76,23.7,58.2,37.5,2390,3,0,3,0,0,0,3,1,4,4,4,5.9959416,2.8717964
PaddleTek Bantam ESQ-C 12mm,249.99,15.9,8.0,5.5,7.6,102.5,6.6,23.2,58.3,37.8,2339,3,0,3,1,0,0,3,0,4,4,4,5.8925447,2.768513
PaddleTek Bantam ESQ-C 14mm,249.99,15.9,8.0,5.5,7.7,106.9,6.7,24.1,58.1,37.3,2304,3,0,3,1,0,0,3,3,4,4,4,5.9553876,2.993822
PaddleTek Bantam TKO-C 12mm,229.99,16.5,7.5,5.25,7.7,113.0,6.55,24.4,57.7,37.9,2314,3,3,1,0,0,1,3,3,3,4,4,10.509217,1.794451
PaddleTek Bantam TKO-CX 14mm,229.99,16.5,7.5,5.75,7.9,121.7,6.38,25.0,58.6,37.1,2293,3,3,1,2,1,4,2,4,4,3,4,11.323811,1.9484501
PaddleTek Tempest TKO-C 14mm,209.99,16.5,7.5,5.25,8.3,124.0,6.59,24.6,57.9,37.1,2204,3,3,1,0,4,4,3,4,3,3,3,11.837078,2.3014286
PaddleTek Tempest Wave Pro-C 14mm,209.99,15.9,8.0,5.25,8.2,112.4,7.19,23.7,56.8,37.2,2302,3,0,3,0,3,1,4,1,2,4,4,6.3836417,4.0565314
PCKL Pro 13 13mm,159.99,16.25,7.5,5.5,8.1,120.0,5.91,23.2,52.6,33.0,1834,1,1,1,1,2,3,1,0,0,0,0,10.536644,4.922353
PCKL Pro 16 16mm,159.99,16.25,7.5,5.5,7.8,121.0,6.56,23.8,54.1,32.8,1853,1,1,1,1,0,4,3,1,0,0,0,10.61851,4.8501325
Pickleball Apes Harmony S 16mm,199.99,16.38,7.56,5.5,8.0,114.6,6.43,24.0,56.7,36.2,2174,2,2,2,1,1,2,2,2,2,2,3,8.947281,3.469089
Pickleball Apes Harmony V 16mm,199.99,15.83,8.07,5.5,8.0,107.5,7.13,23.4,57.1,36.4,2178,2,0,4,1,1,0,4,0,2,2,3,5.6951437,4.2628107
Pickleball Apes Pro Line Energy 16mm,149.99,17.0,7.0,6.25,8.3,122.0,5.7,24.7,56.6,35.6,2081,0,4,0,2,4,4,0,4,2,1,1,11.516736,3.113965
Pickleball Apes Pro Line Energy S 16mm,169.99,16.4,7.6,5.5,8.1,118.0,6.34,24.2,57.2,36.3,2192,1,2,2,1,2,3,2,3,3,2,3,9.18545,3.2096446
Pickleball Apes Pulse E 16mm,199.99,16.9,7.1,6.0,8.3,129.3,5.88,24.8,58.0,36.8,2286,2,4,0,2,4,4,1,4,3,3,4,11.541348,2.946365
Pickleball Apes Pulse S 16mm,199.99,16.3,7.6,5.5,8.0,114.4,6.26,24.1,57.7,36.9,2183,2,2,2,1,1,2,2,3,3,3,3,8.916106,2.844617
