name,price,length,width,handle,static_wgt,swing_wgt,twist_wgt,balance,power,pop,spin,price_q,length_q,width_q,handle_q,static_wgt_q,swing_wgt_q,twist_wgt_q,balance_q,power_q,pop_q,spin_q,embed_x,embed_y
Six Zero Double Black Diamond 14mm,180.0,16.3,7.7,5.5,8.1,112.0,6.33,23.6,55.0,35.8,2077,2,2,2,1,2,1,2,1,0,1,1,8.951619,4.199758
Six Zero Infinity Black Diamond 16mm,220.0,16.3,7.7,5.5,8.0,106.2,5.7,23.0,55.8,35.9,2273,3,2,2,1,1,0,0,0,1,2,4,9.188107,4.204796
Six Zero Infinity Double Black Diamond  16mm,220.0,16.3,7.7,5.5,8.1,110.0,5.8,23.2,54.9,35.3,2077,3,2,2,1,2,1,0,0,0,1,1,9.201499,4.3222375
Six Zero Quartz 15mm,89.99,16.0,7.9,5.0,7.9,107.8,6.43,23.6,54.0,35.0,1925,0,0,3,0,1,0,2,1,0,0,0,4.657276,4.5282736
Six Zero Ruby 16mm,199.0,16.3,7.7,5.5,8.3,117.0,6.81,23.7,56.9,35.2,2271,2,2,2,1,4,3,3,1,2,0,4,8.301597,3.9506168
Six Zero Ruby 14mm,199.0,16.3,7.7,5.5,8.2,114.1,6.5,23.7,56.7,36.6,2124,2,2,2,1,3,2,2,1,2,3,2,7.95675,3.6472123
Six Zero Triple Black Diamond (Willinator) 15mm,220.0,16.6,7.6,6.0,8.2,126.0,6.45,24.8,57.0,35.6,1959,3,4,2,2,3,4,2,4,2,1,0,11.561785,3.5987742
Spartus Apollo 16mm,129.99,15.9,8.2,5.5,8.1,110.1,7.56,23.4,55.7,34.9,2130,0,0,4,1,2,1,4,0,0,0,2,5.6173234,4.998288
Spartus Odyssey Apex 16mm,94.99,16.38,7.8,5.35,7.9,111.9,6.43,23.8,57.4,36.1,2130,0,2,3,1,1,1,2,1,3,2,2,8.302503,3.2245035
Spartus Olympus 14mm,199.99,16.35,7.65,5.5,8.0,110.5,6.13,23.5,58.4,37.0,2058,2,2,2,1,1,1,1,1,4,3,1,8.832825,2.682698
Speedup Fire 14 14mm,119.99,16.5,7.5,6.0,7.8,117.0,5.85,24.3,56.0,35.8,2016,0,3,1,2,0,3,1,3,1,1,1,10.921284,3.7103422
Speedup Ice 16 16mm,119.99,16.5,7.5,6.0,7.8,122.0,6.05,24.9,56.2,34.1,1863,0,3,1,2,0,4,1,4,1,0,0,11.108077,3.9879344
Standout KC1 16mm,195.0,16.5,7.5,5.5,8.0,119.4,5.59,24.5,56.9,35.6,2042,2,3,1,1,1,3,0,4,2,1,1,10.807235,3.431926
Synergy Royale 16mm,200.0,16.5,7.5,5.5,8.4,127.4,6.51,24.6,57.1,35.2,2324,2,3,1,1,4,4,2,4,2,0,4,12.158731,2.9227307
Synergy Supreme 13mm,200.0,16.5,7.5,5.5,7.8,115.3,5.82,24.3,56.6,36.7,2305,2,3,1,1,0,2,0,3,2,3,4,10.195869,2.5900357
Tecnifibre TF Blitz 15mm,199.0,16.6,7.4,6.0,8.3,124.5,5.84,24.3,56.7,36.6,2261,2,4,0,2,4,4,1,3,2,3,4,11.381378,2.9304752
Tecnifibre TF Select 15mm,219.0,16.3,7.7,5.5,8.2,116.6,6.73,23.9,57.1,36.5,2144,3,2,2,1,3,3,3,2,2,3,2,8.078347,3.560154
Thompson 515-Twill 14mm,249.0,16.4,7.63,5.25,8.6,112.5,6.83,22.9,57.6,36.7,2418,3,2,2,0,4,1,3,0,3,3,4,7.575124,3.7918332
Thompson 515-Uni 14mm,249.0,16.4,7.63,5.25,8.2,107.5,6.48,22.9,57.6,37.1,2484,3,2,2,0,3,0,2,0,3,3,4,7.7440057,3.2933004
Thrive Azul (medium-light) 16mm,199.99,16.3,7.7,5.5,8.2,116.5,6.62,23.8,56.9,37.1,2155,2,2,2,1,3,3,3,1,2,3,2,7.9207096,3.596011
